Img Target XMax XMin YMax YMin
1.0 40.0 388.0 286.0 386.0 206.0
1.0 292.0 833.0 731.0 597.0 417.0
1.0 3008.0 441.0 339.0 689.0 509.0
2.0 40.0 288.0 181.0 494.0 317.0
2.0 92.0 751.0 644.0 425.0 248.0
2.0 292.0 825.0 718.0 608.0 431.0
2.0 454.0 610.0 503.0 462.0 285.0
2.0 793.0 407.0 300.0 401.0 224.0
2.0 985.0 500.0 393.0 378.0 201.0
2.0 1642.0 936.0 829.0 632.0 455.0
2.0 2730.0 567.0 460.0 340.0 163.0
2.0 3101.0 434.0 327.0 642.0 465.0
3.0 40.0 373.0 288.0 376.0 205.0
3.0 292.0 626.0 541.0 533.0 362.0
3.0 793.0 646.0 561.0 408.0 237.0
3.0 985.0 800.0 715.0 682.0 511.0
4.0 2112.0 520.0 433.0 416.0 293.0
6.0 1520.0 371.0 283.0 189.0 65.0
7.0 13.0 913.0 692.0 585.0 446.0
7.0 14.0 814.0 593.0 798.0 659.0
7.0 32.0 925.0 704.0 405.0 266.0
7.0 33.0 234.0 13.0 355.0 216.0
7.0 40.0 508.0 287.0 343.0 204.0
7.0 41.0 946.0 725.0 559.0 420.0
7.0 42.0 335.0 114.0 564.0 425.0
7.0 43.0 232.0 11.0 508.0 369.0
7.0 47.0 293.0 72.0 478.0 339.0
7.0 48.0 656.0 435.0 303.0 164.0
7.0 49.0 358.0 137.0 195.0 56.0
7.0 50.0 927.0 706.0 216.0 77.0
7.0 52.0 882.0 661.0 298.0 159.0
7.0 56.0 956.0 735.0 193.0 54.0
7.0 57.0 852.0 631.0 545.0 406.0
7.0 61.0 960.0 739.0 408.0 269.0
7.0 63.0 280.0 59.0 646.0 507.0
7.0 79.0 887.0 666.0 692.0 553.0
7.0 84.0 479.0 258.0 439.0 300.0
7.0 85.0 464.0 243.0 352.0 213.0
7.0 92.0 882.0 661.0 383.0 244.0
7.0 102.0 868.0 647.0 461.0 322.0
7.0 109.0 396.0 175.0 272.0 133.0
7.0 110.0 383.0 162.0 344.0 205.0
7.0 112.0 823.0 602.0 419.0 280.0
7.0 116.0 568.0 347.0 446.0 307.0
7.0 117.0 537.0 316.0 265.0 126.0
7.0 118.0 780.0 559.0 372.0 233.0
7.0 124.0 806.0 585.0 414.0 275.0
7.0 125.0 686.0 465.0 371.0 232.0
7.0 136.0 401.0 180.0 666.0 527.0
7.0 138.0 444.0 223.0 372.0 233.0
7.0 140.0 740.0 519.0 482.0 343.0
7.0 143.0 951.0 730.0 355.0 216.0
7.0 145.0 501.0 280.0 348.0 209.0
7.0 147.0 237.0 16.0 331.0 192.0
7.0 148.0 943.0 722.0 416.0 277.0
7.0 150.0 463.0 242.0 703.0 564.0
7.0 156.0 547.0 326.0 225.0 86.0
7.0 157.0 4972.0 4751.0 1416.0 1277.0
7.0 158.0 340.0 119.0 575.0 436.0
7.0 163.0 243.0 22.0 421.0 282.0
7.0 165.0 450.0 229.0 559.0 420.0
7.0 168.0 654.0 433.0 554.0 415.0
7.0 172.0 962.0 741.0 370.0 231.0
7.0 176.0 272.0 51.0 435.0 296.0
7.0 178.0 777.0 556.0 495.0 356.0
7.0 179.0 793.0 572.0 178.0 39.0
7.0 182.0 724.0 503.0 297.0 158.0
7.0 183.0 769.0 548.0 378.0 239.0
7.0 185.0 920.0 699.0 309.0 170.0
7.0 187.0 225.0 4.0 496.0 357.0
7.0 188.0 770.0 549.0 394.0 255.0
7.0 191.0 607.0 386.0 550.0 411.0
7.0 192.0 634.0 413.0 341.0 202.0
7.0 194.0 626.0 405.0 176.0 37.0
7.0 197.0 600.0 379.0 613.0 474.0
7.0 198.0 429.0 208.0 420.0 281.0
7.0 199.0 922.0 701.0 613.0 474.0
7.0 200.0 325.0 104.0 346.0 207.0
7.0 207.0 912.0 691.0 142.0 3.0
7.0 212.0 323.0 102.0 684.0 545.0
7.0 216.0 320.0 99.0 354.0 215.0
7.0 222.0 560.0 339.0 318.0 179.0
7.0 225.0 498.0 277.0 672.0 533.0
7.0 226.0 456.0 235.0 454.0 315.0
7.0 227.0 380.0 159.0 169.0 30.0
7.0 228.0 938.0 717.0 197.0 58.0
7.0 229.0 360.0 139.0 391.0 252.0
7.0 231.0 916.0 695.0 376.0 237.0
7.0 232.0 724.0 503.0 570.0 431.0
7.0 236.0 896.0 675.0 697.0 558.0
7.0 238.0 273.0 52.0 415.0 276.0
7.0 248.0 603.0 382.0 150.0 11.0
7.0 249.0 401.0 180.0 193.0 54.0
7.0 251.0 850.0 629.0 578.0 439.0
7.0 253.0 341.0 120.0 324.0 185.0
7.0 257.0 1926.0 1705.0 1475.0 1336.0
7.0 258.0 360.0 139.0 640.0 501.0
7.0 259.0 1453.0 1232.0 301.0 162.0
7.0 261.0 589.0 368.0 359.0 220.0
7.0 265.0 794.0 573.0 391.0 252.0
7.0 271.0 309.0 88.0 387.0 248.0
7.0 275.0 889.0 668.0 330.0 191.0
7.0 287.0 698.0 477.0 256.0 117.0
7.0 290.0 928.0 707.0 142.0 3.0
7.0 291.0 323.0 102.0 449.0 310.0
7.0 292.0 941.0 720.0 552.0 413.0
7.0 293.0 258.0 37.0 224.0 85.0
7.0 297.0 852.0 631.0 616.0 477.0
7.0 301.0 407.0 186.0 225.0 86.0
7.0 303.0 551.0 330.0 248.0 109.0
7.0 304.0 871.0 650.0 384.0 245.0
7.0 315.0 563.0 342.0 291.0 152.0
7.0 325.0 711.0 490.0 441.0 302.0
7.0 326.0 649.0 428.0 596.0 457.0
7.0 327.0 297.0 76.0 323.0 184.0
7.0 328.0 1839.0 1618.0 303.0 164.0
7.0 330.0 687.0 466.0 690.0 551.0
7.0 331.0 612.0 391.0 367.0 228.0
7.0 347.0 711.0 490.0 727.0 588.0
7.0 348.0 884.0 663.0 346.0 207.0
7.0 349.0 766.0 545.0 236.0 97.0
7.0 350.0 3707.0 3486.0 859.0 720.0
7.0 354.0 971.0 750.0 159.0 20.0
7.0 355.0 459.0 238.0 436.0 297.0
7.0 358.0 952.0 731.0 371.0 232.0
7.0 359.0 467.0 246.0 170.0 31.0
7.0 362.0 826.0 605.0 619.0 480.0
7.0 364.0 348.0 127.0 2590.0 2451.0
7.0 368.0 535.0 314.0 421.0 282.0
7.0 373.0 818.0 597.0 414.0 275.0
7.0 379.0 254.0 33.0 376.0 237.0
7.0 381.0 694.0 473.0 158.0 19.0
7.0 388.0 877.0 656.0 389.0 250.0
7.0 389.0 1250.0 1029.0 621.0 482.0
7.0 391.0 910.0 689.0 617.0 478.0
7.0 400.0 507.0 286.0 684.0 545.0
7.0 425.0 283.0 62.0 435.0 296.0
7.0 426.0 269.0 48.0 278.0 139.0
7.0 440.0 590.0 369.0 456.0 317.0
7.0 441.0 861.0 640.0 459.0 320.0
7.0 442.0 562.0 341.0 442.0 303.0
7.0 451.0 881.0 660.0 564.0 425.0
7.0 452.0 957.0 736.0 613.0 474.0
7.0 454.0 747.0 526.0 502.0 363.0
7.0 458.0 635.0 414.0 587.0 448.0
7.0 466.0 943.0 722.0 233.0 94.0
7.0 482.0 691.0 470.0 282.0 143.0
7.0 483.0 767.0 546.0 607.0 468.0
7.0 503.0 902.0 681.0 468.0 329.0
7.0 508.0 317.0 96.0 270.0 131.0
7.0 509.0 520.0 299.0 540.0 401.0
7.0 510.0 867.0 646.0 495.0 356.0
7.0 514.0 655.0 434.0 408.0 269.0
7.0 515.0 841.0 620.0 248.0 109.0
7.0 527.0 411.0 190.0 657.0 518.0
7.0 528.0 357.0 136.0 513.0 374.0
7.0 529.0 834.0 613.0 424.0 285.0
7.0 531.0 748.0 527.0 295.0 156.0
7.0 536.0 410.0 189.0 516.0 377.0
7.0 539.0 854.0 633.0 322.0 183.0
7.0 542.0 781.0 560.0 667.0 528.0
7.0 546.0 389.0 168.0 538.0 399.0
7.0 547.0 823.0 602.0 215.0 76.0
7.0 548.0 778.0 557.0 660.0 521.0
7.0 549.0 808.0 587.0 273.0 134.0
7.0 555.0 307.0 86.0 297.0 158.0
7.0 558.0 713.0 492.0 471.0 332.0
7.0 562.0 383.0 162.0 380.0 241.0
7.0 569.0 749.0 528.0 351.0 212.0
7.0 571.0 770.0 549.0 493.0 354.0
7.0 573.0 854.0 633.0 409.0 270.0
7.0 574.0 779.0 558.0 468.0 329.0
7.0 576.0 1098.0 877.0 572.0 433.0
7.0 590.0 774.0 553.0 698.0 559.0
7.0 593.0 852.0 631.0 432.0 293.0
7.0 594.0 7131.0 6910.0 744.0 605.0
7.0 599.0 941.0 720.0 582.0 443.0
7.0 600.0 933.0 712.0 366.0 227.0
7.0 602.0 353.0 132.0 564.0 425.0
7.0 605.0 933.0 712.0 219.0 80.0
7.0 607.0 677.0 456.0 467.0 328.0
7.0 618.0 930.0 709.0 513.0 374.0
7.0 620.0 773.0 552.0 583.0 444.0
7.0 622.0 855.0 634.0 462.0 323.0
7.0 623.0 320.0 99.0 720.0 581.0
7.0 625.0 897.0 676.0 260.0 121.0
7.0 627.0 479.0 258.0 504.0 365.0
7.0 629.0 265.0 44.0 494.0 355.0
7.0 632.0 429.0 208.0 156.0 17.0
7.0 633.0 476.0 255.0 440.0 301.0
7.0 634.0 387.0 166.0 150.0 11.0
7.0 638.0 932.0 711.0 450.0 311.0
7.0 643.0 377.0 156.0 237.0 98.0
7.0 646.0 415.0 194.0 618.0 479.0
7.0 648.0 890.0 669.0 572.0 433.0
7.0 651.0 699.0 478.0 544.0 405.0
7.0 653.0 556.0 335.0 468.0 329.0
7.0 661.0 510.0 289.0 264.0 125.0
7.0 662.0 907.0 686.0 373.0 234.0
7.0 665.0 704.0 483.0 377.0 238.0
7.0 671.0 587.0 366.0 455.0 316.0
7.0 677.0 303.0 82.0 455.0 316.0
7.0 680.0 399.0 178.0 141.0 2.0
7.0 685.0 739.0 518.0 165.0 26.0
7.0 686.0 647.0 426.0 519.0 380.0
7.0 690.0 369.0 148.0 411.0 272.0
7.0 691.0 871.0 650.0 512.0 373.0
7.0 693.0 827.0 606.0 359.0 220.0
7.0 697.0 632.0 411.0 560.0 421.0
7.0 700.0 328.0 107.0 656.0 517.0
7.0 702.0 330.0 109.0 538.0 399.0
7.0 703.0 227.0 6.0 631.0 492.0
7.0 708.0 688.0 467.0 693.0 554.0
7.0 712.0 579.0 358.0 684.0 545.0
