Img	TargetXMin	YMin	XMax	YMax	
1	40	286	206	388	386
1	292	731	417	833	597
1	3008	339	509	441	689
2	40	181	317	288	494
2	92	644	248	751	425
2	292	718	431	825	608
2	454	503	285	610	462
2	793	300	224	407	401
2	985	393	201	500	378
2	1642	829	455	936	632
2	2730	460	163	567	340
2	3101	327	465	434	642
3	40	288	205	373	376
3	292	541	362	626	533
3	793	561	237	646	408
3	985	715	511	800	682
4	2112	433	293	520	416
6	1520	283	65	371	189
7	13	692	446	913	585
7	14	593	659	814	798
7	32	704	266	925	405
7	33	13	216	234	355
7	40	287	204	508	343
7	41	725	420	946	559
7	42	114	425	335	564
7	43	11	369	232	508
7	47	72	339	293	478
7	48	435	164	656	303
7	49	137	56	358	195
7	50	706	77	927	216
7	52	661	159	882	298
7	56	735	54	956	193
7	57	631	406	852	545
7	61	739	269	960	408
7	63	59	507	280	646
7	79	666	553	887	692
7	84	258	300	479	439
7	85	243	213	464	352
7	92	661	244	882	383
7	102	647	322	868	461
7	109	175	133	396	272
7	110	162	205	383	344
7	112	602	280	823	419
7	116	347	307	568	446
7	117	316	126	537	265
7	118	559	233	780	372
7	124	585	275	806	414
7	125	465	232	686	371
7	136	180	527	401	666
7	138	223	233	444	372
7	140	519	343	740	482
7	143	730	216	951	355
7	145	280	209	501	348
7	147	16	192	237	331
7	148	722	277	943	416
7	150	242	564	463	703
7	156	326	86	547	225
7	157	4751	1277	4972	1416
7	158	119	436	340	575
7	163	22	282	243	421
7	165	229	420	450	559
7	168	433	415	654	554
7	172	741	231	962	370
7	176	51	296	272	435
7	178	556	356	777	495
7	179	572	39	793	178
7	182	503	158	724	297
7	183	548	239	769	378
7	185	699	170	920	309
7	187	4	357	225	496
7	188	549	255	770	394
7	191	386	411	607	550
7	192	413	202	634	341
7	194	405	37	626	176
7	197	379	474	600	613
7	198	208	281	429	420
7	199	701	474	922	613
7	200	104	207	325	346
7	207	691	3	912	142
7	212	102	545	323	684
7	216	99	215	320	354
7	222	339	179	560	318
7	225	277	533	498	672
7	226	235	315	456	454
7	227	159	30	380	169
7	228	717	58	938	197
7	229	139	252	360	391
7	231	695	237	916	376
7	232	503	431	724	570
7	236	675	558	896	697
7	238	52	276	273	415
7	248	382	11	603	150
7	249	180	54	401	193
7	251	629	439	850	578
7	253	120	185	341	324
7	257	1705	1336	1926	1475
7	258	139	501	360	640
7	259	1232	162	1453	301
7	261	368	220	589	359
7	265	573	252	794	391
7	271	88	248	309	387
7	275	668	191	889	330
7	287	477	117	698	256
7	290	707	3	928	142
7	291	102	310	323	449
7	292	720	413	941	552
7	293	37	85	258	224
7	297	631	477	852	616
7	301	186	86	407	225
7	303	330	109	551	248
7	304	650	245	871	384
7	315	342	152	563	291
7	325	490	302	711	441
7	326	428	457	649	596
7	327	76	184	297	323
7	328	1618	164	1839	303
7	330	466	551	687	690
7	331	391	228	612	367
7	347	490	588	711	727
7	348	663	207	884	346
7	349	545	97	766	236
7	350	3486	720	3707	859
7	354	750	20	971	159
7	355	238	297	459	436
7	358	731	232	952	371
7	359	246	31	467	170
7	362	605	480	826	619
7	364	127	2451	348	2590
7	368	314	282	535	421
7	373	597	275	818	414
7	379	33	237	254	376
7	381	473	19	694	158
7	388	656	250	877	389
7	389	1029	482	1250	621
7	391	689	478	910	617
7	400	286	545	507	684
7	425	62	296	283	435
7	426	48	139	269	278
7	440	369	317	590	456
7	441	640	320	861	459
7	442	341	303	562	442
7	451	660	425	881	564
7	452	736	474	957	613
7	454	526	363	747	502
7	458	414	448	635	587
7	466	722	94	943	233
7	482	470	143	691	282
7	483	546	468	767	607
7	503	681	329	902	468
7	508	96	131	317	270
7	509	299	401	520	540
7	510	646	356	867	495
7	514	434	269	655	408
7	515	620	109	841	248
7	527	190	518	411	657
7	528	136	374	357	513
7	529	613	285	834	424
7	531	527	156	748	295
7	536	189	377	410	516
7	539	633	183	854	322
7	542	560	528	781	667
7	546	168	399	389	538
7	547	602	76	823	215
7	548	557	521	778	660
7	549	587	134	808	273
7	555	86	158	307	297
7	558	492	332	713	471
7	562	162	241	383	380
7	569	528	212	749	351
7	571	549	354	770	493
7	573	633	270	854	409
7	574	558	329	779	468
7	576	877	433	1098	572
7	590	553	559	774	698
7	593	631	293	852	432
7	594	6910	605	7131	744
7	599	720	443	941	582
7	600	712	227	933	366
7	602	132	425	353	564
7	605	712	80	933	219
7	607	456	328	677	467
7	618	709	374	930	513
7	620	552	444	773	583
7	622	634	323	855	462
7	623	99	581	320	720
7	625	676	121	897	260
7	627	258	365	479	504
7	629	44	355	265	494
7	632	208	17	429	156
7	633	255	301	476	440
7	634	166	11	387	150
7	638	711	311	932	450
