TargetImg	XMin	YMin	XMax	YMax	
1	211	520	549	638	683
1	213	524	551	660	706
2	211	542	267	660	401
2	213	520	275	656	430
3	115	359	409	545	514
3	292	204	513	393	651
5	11	26	322	149	488
5	46	87	434	254	589
5	163	189	328	445	455
5	196	87	434	379	557
5	198	445	266	730	395
7	55	305	145	418	295
8	48	449	67	616	220
8	62	587	262	751	412
8	211	719	472	837	606
8	213	270	252	406	407
9	57	705	533	817	683
9	211	539	533	657	667
9	213	528	532	664	687
11	212	606	141	739	290
11	213	579	138	715	293
13	7	692	446	913	585
13	163	15	675	271	802
14	7	593	659	814	798
14	48	764	480	931	633
14	115	570	378	756	483
14	211	580	518	698	652
14	212	612	486	745	635
14	213	602	199	738	354
15	211	560	274	678	408
15	212	562	274	695	423
15	213	558	275	694	430
18	165	348	388	611	507
20	165	509	183	772	302
21	66	1055	316	1149	425
25	48	222	163	389	316
25	163	176	186	432	313
26	9	820	732	1055	882
27	211	483	463	601	597
27	212	292	319	425	468
27	213	626	460	762	615
32	7	704	266	925	405
32	11	980	293	1103	459
32	46	285	584	452	739
33	7	13	216	234	355
33	46	535	382	702	537
33	47	537	382	712	542
33	48	535	382	702	535
33	165	8107	12894	8370	13013
33	174	561	392	844	552
34	46	519	165	686	320
34	47	33	462	208	622
34	48	23	459	190	612
35	47	60	391	235	551
35	48	305	229	472	382
36	165	11	36	274	155
36	172	166	248	422	390
37	51	360	187	551	329
37	64	139	415	235	527
37	66	292	120	386	229
37	143	351	385	482	522
37	163	169	417	425	544
37	164	169	422	435	544
37	165	60	14	323	133
37	172	124	438	380	580
37	212	489	91	622	240
37	213	493	63	629	218
37	284	157	407	302	512
38	11	378	224	501	390
38	46	447	123	614	278
38	47	329	207	504	367
38	48	307	301	474	454
38	62	192	25	356	175
38	63	305	302	451	436
38	64	310	307	406	419
38	86	1146	1792	1277	1892
38	109	384	86	555	186
38	110	374	141	548	242
38	119	378	132	509	278
38	143	307	301	438	438
38	163	662	15	918	142
38	165	677	303	940	422
38	172	618	99	874	241
38	174	307	301	590	461
38	199	1060	347	1187	476
39	47	311	304	486	464
39	48	152	318	319	471
39	66	44	305	138	414
39	110	143	318	317	419
39	165	728	1343	991	1462
39	292	93	300	282	438
40	1	286	206	388	386
40	2	181	317	288	494
40	3	288	205	373	376
40	7	287	204	508	343
40	11	301	200	424	366
40	12	156	181	280	352
40	17	539	243	620	382
40	46	291	203	458	358
40	47	289	203	464	363
40	48	279	204	446	357
40	49	190	425	387	576
40	58	283	0	441	178
40	62	287	204	451	354
40	64	705	318	801	430
40	66	441	228	535	337
40	109	452	100	623	200
40	110	182	315	356	416
40	119	272	258	403	404
40	143	442	228	573	365
40	144	373	155	503	293
40	162	181	315	264	495
40	163	287	204	543	331
40	164	287	204	553	326
40	165	256	198	519	317
40	172	263	209	519	351
40	173	287	204	578	367
40	174	287	204	570	364
40	175	175	319	240	503
40	196	308	204	600	327
40	199	701	208	828	337
40	203	169	223	257	402
40	213	287	204	423	359
40	274	256	199	401	366
40	282	275	181	392	298
40	291	287	204	467	332
40	292	276	181	465	319
41	7	725	420	946	559
41	9	160	570	395	720
41	46	725	420	892	575
41	48	153	566	320	719
41	163	828	598	1084	725
41	165	239	417	502	536
42	7	114	425	335	564
42	9	113	425	348	575
42	48	232	232	399	385
42	115	171	547	357	652
42	163	161	550	417	677
42	165	207	611	470	730
42	196	201	216	493	339
42	198	189	584	474	713
42	205	6	377	134	509
42	211	118	421	236	555
42	212	536	130	669	279
42	281	191	308	300	422
42	292	695	547	884	685
43	7	11	369	232	508
43	9	309	51	544	201
43	46	360	381	527	536
43	66	227	295	321	404
43	163	12	371	268	498
43	165	23	380	286	499
43	174	356	383	639	543
44	9	123	80	358	230
